case_id,stl,mask,planes_with_intersection,planes_all_contours_closed,slicability_fraction,slicability_pass,mesh_bbox_diagonal_mm,centroid_offset_mm,centroid_offset_pct_of_diagonal,bbox_max_error_mm,mask_spacing_mm,alignment_pass,status
822,outputs/phase_b_mesh_qc/case_outputs/822/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/822/seg_mask_0.5.nii.gz,37,37,1.0,True,242.6896251332944,0.1211363982288016,0.04991412309540173,0.30000197887420654,0.6000 0.6000 0.6000,True,ok
823,outputs/phase_b_mesh_qc/case_outputs/823/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/823/seg_mask_0.5.nii.gz,50,48,0.96,False,162.38399070604882,0.07909134316745169,0.04870636743410539,0.3000040054321289,0.6000 0.6000 0.6000,True,ok
824,outputs/phase_b_mesh_qc/case_outputs/824/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/824/seg_mask_0.5.nii.gz,46,46,1.0,True,173.66243707354698,0.14840749701508074,0.08545745384894568,0.3000072240829468,0.6000 0.6000 0.6000,True,ok
825,outputs/phase_b_mesh_qc/case_outputs/825/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/825/seg_mask_0.5.nii.gz,38,38,1.0,True,177.63851906997726,0.10168777597710348,0.057244215111388955,0.30000388622283936,0.6000 0.6000 0.6000,True,ok
826,outputs/phase_b_mesh_qc/case_outputs/826/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/826/seg_mask_0.5.nii.gz,42,1,0.023809523809523808,False,204.39316196537362,0.1743984052675347,0.08532497055702855,0.30000579357147217,0.6000 0.6000 0.6000,True,ok
827,outputs/phase_b_mesh_qc/case_outputs/827/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/827/seg_mask_0.5.nii.gz,41,41,1.0,True,214.11428046817218,0.13594505402723692,0.06349182022328725,0.300006628036499,0.6000 0.6000 0.6000,True,ok
828,outputs/phase_b_mesh_qc/case_outputs/828/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/828/seg_mask_0.5.nii.gz,46,45,0.9782608695652174,False,182.6327520096778,0.18417047387174398,0.10084197486220035,0.3000032901763916,0.6000 0.6000 0.6000,True,ok
829,outputs/phase_b_mesh_qc/case_outputs/829/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/829/seg_mask_0.5.nii.gz,42,40,0.9523809523809523,False,231.49895350308316,0.1120592075888905,0.04840592404120655,0.30000388622283936,0.6000 0.6000 0.6000,True,ok
830,outputs/phase_b_mesh_qc/case_outputs/830/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/830/seg_mask_0.5.nii.gz,48,46,0.9583333333333334,False,179.64065506218827,0.13197482678951256,0.07346601288212032,0.30000579357147217,0.6000 0.6000 0.6000,True,ok
831,outputs/phase_b_mesh_qc/case_outputs/831/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/831/seg_mask_0.5.nii.gz,50,50,1.0,True,183.7087989747356,0.16089899978348102,0.0875837198225919,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
832,outputs/phase_b_mesh_qc/case_outputs/832/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/832/seg_mask_0.5.nii.gz,50,49,0.98,False,177.84309174314856,0.11073831548625113,0.06226742596568547,0.3000037670135498,0.6000 0.6000 0.6000,True,ok
833,outputs/phase_b_mesh_qc/case_outputs/833/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/833/seg_mask_0.5.nii.gz,50,48,0.96,False,168.54020962092042,0.11769298808349071,0.06983080675418941,0.3000044822692871,0.6000 0.6000 0.6000,True,ok
834,outputs/phase_b_mesh_qc/case_outputs/834/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/834/seg_mask_0.5.nii.gz,50,50,1.0,True,177.01933589984273,0.16598670182782266,0.09376755425279511,0.30000579357147217,0.6000 0.6000 0.6000,True,ok
835,outputs/phase_b_mesh_qc/case_outputs/835/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/835/seg_mask_0.5.nii.gz,49,49,1.0,True,166.08841096822493,0.15986233710460923,0.09625134961113763,0.3000071048736572,0.6000 0.6000 0.6000,True,ok
836,outputs/phase_b_mesh_qc/case_outputs/836/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/836/seg_mask_0.5.nii.gz,50,48,0.96,False,171.15677643315237,0.16782371711595132,0.09805262789667997,0.30001258850097656,0.6000 0.6000 0.6000,True,ok
837,outputs/phase_b_mesh_qc/case_outputs/837/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/837/seg_mask_0.5.nii.gz,50,48,0.96,False,163.13381299575948,0.13349840420917378,0.08183368104848009,0.30000317096710205,0.6000 0.6000 0.6000,True,ok
838,outputs/phase_b_mesh_qc/case_outputs/838/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/838/seg_mask_0.5.nii.gz,50,50,1.0,True,157.54085229450132,0.13105317357623272,0.08318678721583056,0.300001859664917,0.6000 0.6000 0.6000,True,ok
